E314 Leuven Lummen, 6675,6310
E313 Richting Antwerpen,5715,2832
E313 Richting Luik,3087,5721
E17 Richting Antwerpen,220,8187
E17 Richting Kortrijk,2881,225
E19N Richting Antwerpen,6813,2982
E19N Richting Nederland,8366,7487
